course_id,course_title,price,num_subscribers,num_reviews,num_lectures,subject
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,35.0,7.0,1,19,Business Finance
831940,Fundamentals of Accounting for Business Owners,20.0,217.0,0,47,Business Finance
833770,Practical Financial Statement Analysis,75.0,22.0,5,45,Business Finance
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,50.0,131.0,2,38,Business Finance
707224,Financial Statement Review 101:  How to Find Errors,30.0,5.0,2,15,Business Finance
64739,Professional Risk Manager (PRM) Certification: Level 1,50.0,116.0,10,51,Business Finance
907716,International Tax  - Tax Beyond boundaries,100.0,27.0,6,235,Business Finance
1030976,The Complete Financial Statement Analysis Course,150.0,912.0,12,37,Business Finance
722682,Advanced Excel functions,20.0,1964.0,47,15,Business Finance
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200.0,1033.0,2,31,Business Finance
808506,Candlestick Analysis For Professional Traders,95.0,913.0,117,48,Business Finance
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,200.0,2092.0,77,52,Business Finance
358062,Financial Modeling: Build a Complete DCF Valuation Model,,2240.0,185,44,Business Finance
372234,Hands-on Financial Modeling (With 6 Excel Templates),30.0,4601.0,38,14,Business Finance
822514,CAIIB Advanced Bank Management (Part I),25.0,2953.0,20,211,Business Finance
1045726,Stock Market investment:Non financial fundamental analysis,125.0,1091.0,4,29,Business Finance
943426,Learn How to Play CashFlow Game,35.0,1459.0,11,26,Business Finance
46927,Basics of Business Finance,,4855.0,64,24,Business Finance
567070,Accounting Made Easy 2,50.0,4034.0,8,40,Business Finance
867440,"Bitcoin: el futuro del dinero, hoy",200.0,57.0,22,19,Business Finance
501996,Aprende a invertir practicando,35.0,26.0,9,42,Business Finance
1103590,Trading con retrocesos de Fibonacci,25.0,14.0,4,15,Business Finance
1172370,Mit Finanzwissen zu besserem Unternehmertum,50.0,49.0,3,23,Business Finance
673702,Como hacer empresa en 10 sesiones prácticas,20.0,11.0,2,10,Business Finance
821108,المحاسبة للإداريين و غير المحاسبين,20.0,9.0,3,17,business finance
863998,株式投資で本当のファンダメンタル分析ができるようになる,20.0,91.0,7,30,Business Finance
822926,Curso de Trading práctico basado en casos reales,,44.0,6,55,Business Finance
666254,curso avanzado de trading,125.0,106.0,11,100,business finance
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,0.0,2079.0,258,25,business finance
518886,MQL4 Tutorial Golden Goose,,135.0,5,12,Business Finance
868128,Análise de Concessão de Crédito,20.0,,11,20,Business Finance
986034,Technical Analysis Using Elliott Wave Theory,,217.0,7,16,Business Finance
42642,The Basics Of Volume Analysis,60.0,611.0,57,13,Business Finance
471428,Crash Course on Cost of Capital and Capital Structuring,0.0,5007.0,41,19,Business Finance
600206,Business Accounting Made Easy,,1168.0,5,26,Business Finance
283780,Build a DCF Model from Scratch,0.0,,395,5,Business Finance
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",0.0,,12,14,Business Finance
42640,Technical Analysis - A practical approach for trade entry,60.0,454.0,52,15,Business Finance
767256,Mastering Technical Analysis : Maximizing Trading Profits,60.0,325.0,14,62,Business Finance
843854,the complete guide to professional trading with elliott wave,115.0,228.0,49,43,business finance
247558,A Complete Guide to Becoming a Trader on the Forex Market,25.0,562.0,11,15,Business Finance
696616,stock market for beginners - complete starter toolkit,120.0,577.0,45,82,business finance
205810,Beginners Binary Options Course,0.0,10540.0,799,14,Business Finance
507486,Technical Analysis 101: Secrets of Trading Revealed,150.0,912.0,27,81,Business Finance
965306,Forex: What's a Trend and When it is Strong and Reliable,0.0,2955.0,43,30,Business Finance
1128662,Volatility Trading Analysis with R,50.0,190.0,13,45,Business Finance
1068986,How To Profit From Stock Market Volatility,0.0,1736.0,36,11,Business Finance
627706,Awaken the Accountant in You | Master the Accounting Basics,35.0,1135.0,10,16,Business Finance
255280,WE WILL PAY YOU TO TRADE WITH US,20.0,2101.0,51,11,Business Finance
628944,situational trading: proven option strategy for any scenario,200.0,1048.0,11,16,business finance
537886,Portfolio Management for CA / CS / CFA exams,20.0,1740.0,5,8,Business Finance
517938,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),20.0,1749.0,41,21,Business Finance
779678,Finding an Unlimited Amount of Investors,80.0,1187.0,6,6,Business Finance
494330,Bookkeeping Made Easy,70.0,1263.0,21,18,Business Finance
153926,BITCOIN VISUALLY. Part I.,50.0,115.0,6,31,Business Finance
806122,Learn and Master the Basics of Finance,20.0,43.0,17,39,Business Finance
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,75.0,55.0,2,27,Business Finance
1032234,Mastering the Market : (Technical Analysis + Candlestick),90.0,,7,97,Business Finance
996542,Mastering Countertrend Trading : High Profit Trading Pattern,40.0,14.0,5,11,Business Finance
756520,Exam 1 Review - Managerial Accounting (U of H),30.0,47.0,9,22,Business Finance
768028,* An Integrated Approach to the Fundamentals of Accounting,200.0,134.0,14,123,Business Finance
73030,Get to grips with the CFA calculator,20.0,153.0,8,14,Business Finance
476880,Financial Model Fundamentals-Learn the Essential Skills,75.0,47.0,5,27,Business Finance
773060,Forex: Economic News Trading,25.0,42.0,14,11,Business Finance
552058,Analyze Real Estate Investments | Financial Modeling,20.0,120.0,18,21,Business Finance
509512,Forex For Beginners - A Guide To Currency Trading,20.0,68.0,10,23,Business Finance
